Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
266	0	-1966.91	-1800.94	-165.964	1.044116	887.2244	0.1445939	0.13551
267	1	-2684.46	-2514.76	-169.7	2.160374	888.0128	443	0
268	0	-1971.72	-1805.76	-165.964	1.044116	887.3026	0.146162	0.13551
269	1	-2684.93	-2515.23	-169.7	2.160374	888.0022	443	0
270	0	-1971.1	-1805.14	-165.964	1.044116	887.3125	0.1469601	0.13551
271	1	-2682.88	-2513.18	-169.7	2.160374	887.9988	443	0
272	0	-1968.4	-1802.44	-165.964	1.044116	887.1454	0.1322867	0.13551
273	1	-2687.04	-2517.34	-169.7	2.160374	887.8468	443	0
274	0	-1965.41	-1799.45	-165.964	1.044116	887.0988	0.1341263	0.13551
275	1	-2692.6	-2522.9	-169.7	2.160374	887.8917	443	0
276	0	-1970.15	-1804.19	-165.964	1.044116	887.2952	0.1542055	0.13551
277	1	-2685.37	-2515.67	-169.7	2.160374	887.9624	443	0
278	0	-1964.27	-1798.3	-165.964	1.044116	887.2026	0.1428371	0.13551
279	1	-2682.2	-2512.5	-169.7	2.160374	887.9782	443	0
280	0	-1970.11	-1804.15	-165.964	1.044116	887.2895	0.1413268	0.13551
281	1	-2682.51	-2512.81	-169.7	2.160374	888.003	443	0
282	0	-1967.43	-1801.46	-165.964	1.044116	887.163	0.1427266	0.13551
283	1	-2688.19	-2518.49	-169.7	2.160374	888.0048	443	0
284	0	-1972.61	-1806.64	-165.964	1.044116	887.1964	0.1392324	0.13551
285	1	-2683.96	-2514.26	-169.7	2.160374	887.8689	443	0
286	0	-1975.04	-1809.08	-165.964	1.044116	887.2881	0.1470095	0.13551
287	1	-2680.31	-2510.61	-169.7	2.160374	887.971	443	0
288	0	-1970.38	-1804.42	-165.964	1.044116	887.2946	0.1569061	0.13551
289	1	-2683.39	-2513.69	-169.7	2.160374	887.8604	443	0
290	0	-1965.41	-1799.45	-165.964	1.044116	887.251	0.1403751	0.13551
291	1	-2683.13	-2513.43	-169.7	2.160374	887.7822	443	0
292	0	-1974.19	-1808.23	-165.964	1.044116	887.1217	0.1394353	0.13551
293	1	-2681.32	-2511.62	-169.7	2.160374	887.8112	443	0
294	0	-1964.29	-1798.33	-165.964	1.044116	887.1921	0.1353219	0.13551
295	1	-2684.44	-2514.74	-169.7	2.160374	887.7782	443	0
296	0	-1971.86	-1805.89	-165.964	1.044116	887.319	0.1347743	0.13551
297	1	-2684.98	-2515.28	-169.7	2.160374	887.838	443	0
298	0	-1966.15	-1800.19	-165.964	1.044116	887.2927	0.1352957	0.13551
