Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	tmrca_Ursidae	turnover
750	-2011.73	-1980.42	-31.3061	0.09372145	0.0001115897	0.02676748	0.7143932	0.06695397	0.00346718	0.30537	0.156661	0.0492978	0.480622	0.00458139	46.28324	0.196027	0.318781	0.312855	0.172336	46.28324	0.2856068
760	-2006.63	-1979.08	-27.5495	0.3825352	0.000190205	0.204687	0.4649198	0.1778482	0.00172648	0.417268	0.0760211	0.0649534	0.425099	0.0149321	47.36967	0.198568	0.328054	0.31521	0.158168	47.36967	0.5350802
770	-2009.64	-1979.97	-29.6702	0.3245636	0.000215203	0.0814592	0.7490193	0.2431044	0.0330851	0.43925	0.153988	0.0474166	0.313566	0.0126938	46.02812	0.19624	0.332761	0.292209	0.178789	46.02812	0.2509807
780	-2010.84	-1981.13	-29.7048	0.2580924	0.0001687001	0.04935434	0.8087726	0.208738	0.0458745	0.426024	0.096207	0.0802676	0.349259	0.00236798	47.21048	0.165719	0.316525	0.341138	0.176618	47.21048	0.1912274
790	-2012.4	-1980.73	-31.67	0.2235858	0.0001558773	0.0718757	0.6785319	0.1517101	0.0056298	0.505253	0.120427	0.0575325	0.308377	0.00278151	50.8851	0.176337	0.318391	0.324507	0.180765	50.8851	0.3214681
800	-2004.13	-1977.93	-26.1981	0.5405312	0.000190576	0.3336005	0.3828285	0.2069307	0.00715896	0.346794	0.129399	0.0281998	0.482379	0.00606942	46.92902	0.179241	0.317023	0.325437	0.178299	46.92902	0.6171715
810	-2009.28	-1979.78	-29.4995	0.3739879	0.0001502129	0.1644482	0.5602847	0.2095397	0.00771385	0.225807	0.101326	0.0819895	0.576362	0.00680162	49.48483	0.17237	0.316852	0.334371	0.176407	49.48483	0.4397153
820	-2006.7	-1977.6	-29.0945	0.3606018	0.0001795498	0.1318271	0.6344248	0.2287747	0.00325623	0.356191	0.236824	0.05159	0.351237	0.000902207	45.28018	0.186929	0.338804	0.304546	0.169721	45.28018	0.3655752
830	-2007.91	-1977.37	-30.5396	0.01501301	0.0002041472	0.007143632	0.5241707	0.007869382	0.0264165	0.3011	0.280324	0.0482363	0.343006	0.000916908	44.73767	0.184279	0.321194	0.317767	0.17676	44.73767	0.4758293
840	-2015.27	-1984.63	-30.6378	0.5445394	0.0002448218	0.2399326	0.5593843	0.3046068	0.038416	0.26092	0.400511	0.0343581	0.263342	0.00245208	49.93126	0.191466	0.341728	0.297922	0.168884	49.93126	0.4406157
850	-2012.57	-1983.47	-29.0951	0.4744867	0.0001601602	0.2197756	0.5368141	0.2547112	0.0164316	0.371212	0.179102	0.0236317	0.371948	0.0376742	51.8806	0.190689	0.287565	0.343613	0.178133	51.8806	0.4631859
860	-2006.02	-1977.52	-28.5029	0.2884117	0.0001822374	0.1507698	0.4772411	0.1376419	0.00751098	0.397483	0.0525588	0.0617138	0.46633	0.0144039	45.509	0.196381	0.311331	0.320591	0.171697	45.509	0.5227589
870	-2005.04	-1976.71	-28.3279	0.2473308	0.0001874597	0.09714457	0.6072281	0.1501862	0.0191022	0.278215	0.130757	0.02729	0.536953	0.00768256	45.84952	0.177594	0.328194	0.324292	0.16992	45.84952	0.3927719
880	-2005.21	-1977.98	-27.2219	0.4744105	0.0002382479	0.2838398	0.4017001	0.1905707	0.00242296	0.355601	0.139874	0.0832054	0.414055	0.00484217	45.38421	0.168178	0.332768	0.322861	0.176193	45.38421	0.5982999
890	-2006.83	-1981.43	-25.405	0.817952	0.000295823	0.6540581	0.200371	0.1638939	0.004572	0.278675	0.182165	0.100937	0.432233	0.0014171	49.34372	0.18505	0.311853	0.320866	0.182231	49.34372	0.799629
900	-2006.93	-1976.09	-30.8337	0.770751	0.0001588111	0.7328293	0.049201	0.03792172	0.00470842	0.302213	0.169484	0.0685328	0.450809	0.00425303	52.23426	0.188381	0.319561	0.31347	0.178588	52.23426	0.950799
910	-2005.69	-1978.46	-27.2259	0.2736235	0.0002320567	0.08284361	0.6972351	0.1907799	0.0261813	0.347126	0.2404	0.0648934	0.316714	0.00468534	46.42436	0.184564	0.322963	0.32305	0.169423	46.42436	0.3027649
920	-2009.67	-1980.19	-29.4769	0.3685576	0.0001877364	0.1930714	0.4761433	0.1754862	0.0127605	0.396554	0.105875	0.0270552	0.451501	0.00625468	54.28671	0.199989	0.304445	0.32601	0.169557	54.28671	0.5238567
